t,ax,ay,az,gx,gy,gz
121.197,9.32,-0.52,9.53,0.01,0.0,-0.21
121.321,9.610000000000001,-0.47,9.25,-0.2,0.04,-0.24
121.446,9.370000000000001,-0.010000000000000009,9.629999999999999,-0.24000000000000002,-0.16,-0.24
121.57,9.520000000000001,0.38,9.52,-0.38,0.06,-0.07
121.694,9.06,0.59,8.620000000000001,-0.48,-0.21,0.09
121.819,9.74,0.81,9.77,0.13,0.1,-0.13
121.943,9.860000000000001,-0.14,9.69,-0.26999999999999996,0.22,0.05
122.067,9.47,0.19,9.39,-0.52,-0.11000000000000001,0.33
122.192,9.97,0.29,9.8,-0.5599999999999999,0.23,0.37
122.316,9.780000000000001,-0.51,9.87,-0.42,-0.020000000000000004,0.37
122.44,9.66,-0.6900000000000001,9.62,-0.42,-0.06,0.32
122.565,9.8,-0.9,9.64,-0.29,0.12,0.08
122.689,8.700000000000001,-0.7300000000000001,9.12,-0.37,-0.09,0.04
122.812,9.700000000000001,-0.48,9.17,0.08,0.03,-0.21
122.937,9.38,-0.43000000000000005,9.559999999999999,0.21,-0.16,-0.17
123.061,9.700000000000001,-0.7699999999999999,9.92,0.28,0.08,0.03
123.185,9.63,-0.26,9.5,0.43,0.03,0.07
123.309,9.05,-1.27,9.89,0.29000000000000004,0.04,0.04
123.433,9.4,-1.3399999999999999,9.8,0.08,0.08,0.13
123.557,9.3,-0.59,9.89,0.06,-0.020000000000000004,0.06
123.681,9.91,-0.92,9.78,-0.030000000000000002,-0.03,-0.07
